step,targets,series_per_target,head_series,interval_s,cpu_cores,cpu_pct_of_ncores,cpu_s_per_million,rss_gib,worst_scrape_s,min_up,event
1,16,1000000,1.600008e+07,30,1.029,6.4,2.1231,20.43,2.101116666,1,
2,16,2000000,3.200008e+07,30,5.846,36.5,2.6819,50.86,5.683765493,1,
3,16,3000000,3.7581223e+07,30,4.046,25.3,0.0000,57.94,5.07750506,1,
4,16,4000000,6.400008e+07,30,14.967,93.5,4.5770,102.03,19.53127109,1,
5,16,5000000,6.7108957e+07,30,12.753,79.7,52.6949,110.38,15.439793222,1,
6,16,6000000,8.7789765e+07,30,5.997,37.5,12.3831,110.69,104.628076977,1,
7,16,7000000,1.00955587e+08,30,15.185,94.9,41.8558,112.41,121.481647773,1,
8,16,8000000,1.10746153e+08,30,15.265,95.4,36.0307,113.00,160.924496578,1,
9,16,9000000,0,30,,,,,,,OOM
